nct_id,start_date,status,phase,study_type,brief_title,official_title,condition_names,intervention_names,gender,minimum_age,maximum_age,healthy_volunteers,zip_codes,primary_purpose,allocation,intervention_model,observation_model,masking,design_description,study_description,outcome_description,outcome_measure,facilities_and_contacts,central_contacts
NCT04377100,2020-05-13,Not yet recruiting,N/A,Interventional,Impact on Anxiety and Motivation of COVID-19 and Predictors of Individual Responses,Impact on Anxiety and Motivation of COVID-19 and Predictors of Individual Responses,Anxiety|Healthy Volunteers,Computer task questionnaires,All,18,,No,20892,Basic Science,N/A,Single Group Assignment,,None (Open Label),"       Study Description:       This protocol has 2 goals: (1) Collect data from NIMH research volunteers who already       participated in SNFA neuroimaging studies (protocol 02-M-0321,and 14-M-0114) and examine how       individual affective, cognitive, and behavioral responses to COVID-19 can be predicted by       neural and clinical measures obtained prior to the pandemic. This part-1 concerns only a       limited number of adults and represents a unique opportunity to probe critical questions       which are difficult to query in empirical experiments or with only retrospective information       on stress experience. (2) Collect a large dataset to examine the impact of COVID-19 stressors       on motivation pattern (approach/avoidance behavior) in function of anxiety, cognitive and       behavioral responses to the pandemic. This part-2 of the protocol is open to any individuals       interested in participating. Overall, this is a time-sensitive research on the impact of       environmental stressors generated by the COVID-19 pandemic on anxiety, motivation and       potential neural mechanisms informed by predictors. Measures collected consist of ratings of       stressors related to COVID-19 and more generally, anxiety, cognition, and behavior, including       the performance of a motivation-based task (finger-pressing task). This research will use a       study website to consent, survey participants online, and an online task.       Objectives:       The primary objective is to examine the relationship of affective, cognitive and behavioral       responses to stressors related to COVID-19 with neuroimaging and behavioral data collected       previously, before COVID-19. This research will identify risk and resilience factors (neural       and behavioral) among study participants regarding their responses to COVID-19 crisis. The       secondary objective is to gather a large dataset to provide information on how sustained       environmental stress affect motivated behavior, particularly with respect to biasing behavior       towards avoidance, and how individual factors such as anxiety and cognitive function       influence the impact on patterns of motivation. These data are expected to help the       interpretation of the role of neuroimaging findings.       Endpoints:       The endpoints are 2-fold: anxiety and motivation pattern responses to COVID-19 stressors (1)       in function of clinical phenotype; and (2) in function of endophenotype previously collected       using high-resolution 7T fMRI. These endpoints will be measured twice using the same online       platform approximately 8 months later.       Study Population:       The sample size will be up to 500 healthy volunteers and anxiety participants. Participants       will be males and females, 18 years and older. They must be English-speaking. The study       population will include patient and volunteer participants who have consented for an SFNA       study in the past (protocols 01-M-0185, 02-M-0321, 03-M-0093 and 14-M-0114) as well as new       participants from the general population who respond to advertisements for the SNFA -COVID       study but who have not previously been a NIMH study participant. The SNFA -COVID study study       participants may or may not be local to the Metropolitan Washington DC area but since the       study will be conducted entirely online, this is not relevant.       Description of Sites/Facilities Enrolling Participants:       The protocol is situated at the NIH Clinical Center with no additional supporting sites. The       study itself will be conducted entirely online through a secure study website where consent       and study measures will be completed and repeated as specified.       Description of Study Intervention:       There are no study interventions as this is a descriptive behavioral health survey study,       including questionnaires and a finger-tapping task.       Study Duration:       The estimated time from study initiation to study completion approximately one year as this       is a time-sensitive study whose results should be analyzed and disseminated rapidly.       Participant Duration:       It is expected that participants will participate in the study for up to 8 months with an       option to recontact in the future.     ","       Study Description:       This protocol has 2 goals: (1) Collect data from NIMH research volunteers who already       participated in SNFA neuroimaging studies (protocol 02-M-0321,and 14-M-0114) and examine how       individual affective, cognitive, and behavioral responses to COVID-19 can be predicted by       neural and clinical measures obtained prior to the pandemic. This part-1 concerns only a       limited number of adults and represents a unique opportunity to probe critical questions       which are difficult to query in empirical experiments or with only retrospective information       on stress experience. (2) Collect a large dataset to examine the impact of COVID-19 stressors       on motivation pattern (approach/avoidance behavior) in function of anxiety, cognitive and       behavioral responses to the pandemic. This part-2 of the protocol is open to any individuals       interested in participating. Overall, this is a time-sensitive research on the impact of       environmental stressors generated by the COVID-19 pandemic on anxiety, motivation and       potential neural mechanisms informed by predictors. Measures collected consist of ratings of       stressors related to COVID-19 and more generally, anxiety, cognition, and behavior, including       the performance of a motivation-based task (finger-pressing task). This research will use a       study website to consent, survey participants online, and an online task.       Objectives:       The primary objective is to examine the relationship of affective, cognitive and behavioral       responses to stressors related to COVID-19 with neuroimaging and behavioral data collected       previously, before COVID-19. This research will identify risk and resilience factors (neural       and behavioral) among study participants regarding their responses to COVID-19 crisis. The       secondary objective is to gather a large dataset to provide information on how sustained       environmental stress affect motivated behavior, particularly with respect to biasing behavior       towards avoidance, and how individual factors such as anxiety and cognitive function       influence the impact on patterns of motivation. These data are expected to help the       interpretation of the role of neuroimaging findings.       Endpoints:       The endpoints are 2-fold: anxiety and motivation pattern responses to COVID-19 stressors (1)       in function of clinical phenotype; and (2) in function of endophenotype previously collected       using high-resolution 7T fMRI. These endpoints will be measured twice using the same online       platform approximately 8 months later.       Study Population:       The sample size will be up to 500 healthy volunteers and anxiety participants. Participants       will be males and females, 18 years and older. They must be English-speaking. The study       population will include patient and volunteer participants who have consented for an SFNA       study in the past (protocols 01-M-0185, 02-M-0321, 03-M-0093 and 14-M-0114) as well as new       participants from the general population who respond to advertisements for the SNFA -COVID       study but who have not previously been a NIMH study participant. The SNFA -COVID study study       participants may or may not be local to the Metropolitan Washington DC area but since the       study will be conducted entirely online, this is not relevant.       Description of Sites/Facilities Enrolling Participants:       The protocol is situated at the NIH Clinical Center with no additional supporting sites. The       study itself will be conducted entirely online through a secure study website where consent       and study measures will be completed and repeated as specified.       Description of Study Intervention:       There are no study interventions as this is a descriptive behavioral health survey study,       including questionnaires and a finger-tapping task.       Study Duration:       The estimated time from study initiation to study completion approximately one year as this       is a time-sensitive study whose results should be analyzed and disseminated rapidly.       Participant Duration:       It is expected that participants will participate in the study for up to 8 months with an       option to recontact in the future.     ","To examine patterns of neural circuits connectivity as potential predictors of rating scores of affective, cognitive and behavioral (including task performance) responses to COVID-19 among healthy and clinically anxious participants who already participants in SNFA resting-state connectivity studies.",Patterns of neural connectivity as predictors,"National Institute of Mental Health (NIMH); Bethesda; Maryland; 20892; Morgan Andrews, Ph.D.; deborah.roberts@nih.gov; 301-594-0642","Morgan Andrews, Ph.D.; (301) 594-0642; deborah.roberts@nih.gov"
NCT04345601,2020-05-31,Not yet recruiting,Early Phase 1,Interventional,Mesenchymal Stromal Cells for the Treatment of SARS-CoV-2 Induced Acute Respiratory Failure (COVID-19 Disease),Single Donor Banked Bone Marrow Mesenchymal Stromal Cells for the Treatment of SARS-CoV-2 Induced Acute Respiratory Failure: A Pilot Study,Acute Respiratory Distress Syndrome|COVID-19|Sars-CoV2,Mesenchymal Stromal Cells,All,18,,No,77030,Treatment,,Single Group Assignment,,None (Open Label),"       Earlier, a healthy donor provided blood cells to generate MSCs. These cells were grown and       frozen for later use.       Before being treated, the patient will receive a series of standard medical tests:         -  Physical exam and history         -  SARS-CoV-2 test         -  Blood tests         -  Chest X-ray or chest CT Scan         -  A urine pregnancy test, when applicable       These tests are done to assess the patient''s eligibility to receive the cells. On the day       that the patient is scheduled to receive the cells they will be pre-medicated with Benadryl       and Tylenol. The patient will then receive a single intravenous (into the vein) infusion of 2       x 10^6 cells/kg of MSCs. The patient will be monitored closely for two hours after the       infusion.       The patient will receive standard medical tests when getting the infusion and afterwards. As       part of the research study, the patient will be evaluated daily for 7 days and then weekly at       weeks 2, 3, and 4. The evaluations that will be done at these visits include:         -  Physical exam and history         -  SARS-CoV-2 test         -  Blood tests         -  Chest X-ray or chest CT Scan     ","       This is a study for patients who have respiratory infection caused by SARS-CoV-2 that have       not gotten better. Because there is no standard treatment for this infection, patients are       being asked to volunteer for a gene transfer research study using mesenchymal stem cells       (MSCs).       Stem cells are cells that do not yet have a specific function in the body. Mesenchymal stem       cells (MSCs) are a type of stem cell that can be grown from bone marrow (the spongy tissue       inside of bones). Stem cells can develop into other types of more mature (specific) cells,       such as blood and muscle cells.       The purpose of this study is to see if MSCs can help to treat respiratory infections caused       by SARS-CoV-2.     ","Proportion of patients with improved oxygenation, defined as oxygen saturation >=93% on room air or no more than 5L of supplemental oxygen.",Incidence of unexpected adverse events,"Houston Methodist Hospital; Houston; Texas; 77030; LaQuisa Hill, MD; LaQuisa.Hill@bcm.edu; 713-441-1450","LaQuisa Hill, MD; (713) 441-1450; LaQuisa.Hill@bcm.edu"
NCT04344587,2020-05-31,Enrolling by invitation,N/A,Interventional,COVID-19 smArtphone-based Trial of Non-ICU Admission Prone Positioning,COVID-19 smArtphone-based Trial of Non-ICU Admission Prone Positioning,COVID-19,Self-prone position recommendation;Usual care,All,18,,No,02118,Supportive Care,Randomized,Parallel Assignment,,None (Open Label),"       The COVID-19 smArtphone-based Trial of Non-ICU Admission Prone Positioning (CATNAP) Study is       a pragmatic adaptive randomized controlled unblinded trial. CATNAP randomizes non-ICU       patients with COVID-19 or who are under evaluation for COVID-19 to lie in a prone position       (i.e, with their stomach and chest facing down) or to usual care.     ","       Prone positioning is a well studied and validated treatment for severe acute respiratory       distress syndrome (ARDS), however there are no randomized studies on the use of prone       positioning in the non-intubated patient. The purpose of this trial is to investigate the use       of prone positioning in SARS-CoV-2 infected patients who are not intubated. It is unknown if       this intervention would be helpful in preventing further respiratory deterioration in terms       of increasing supplemental oxygen requirements, endotracheal intubation, and ICU admission.       The CATNAP Study is a pragmatic adaptive randomized controlled unblinded trial. CATNAP       compares a smartphone tool that recommends non-ICU patients with COVID-19 or who are under       evaluation for COVID-19 to lie in a prone position (i.e, with their stomach and chest facing       down) to usual care.     ",Change in respiratory status will be defined as:1) admission to the ICU and/or a 2) an increase in supplemental oxygen delivery (defined as an increase in oxygen delivery rate of ≥2 liter per minute compared to the oxygen delivery rate at the time of intervention or usual care text message that is sustained for ≥12 or more hours OR the switch to an oxygen delivery method that increases the level of supplemental oxygen.,Change in respiratory status,Boston Medical Center; Boston; Massachusetts; 02118,""
NCT04364802,2020-05-31,Not yet recruiting,Phase 2,Interventional,COVID-19: Povidone-Iodine Intranasal Prophylaxis in Front-line Healthcare Personnel and Inpatients,Povidone-Iodine Intranasal for Prophylaxis in Front-line Health-care Personnel and Inpatients During the Sars-CoV-2 Pandemic,COVID-19|SARS-CoV 2,Povidone-Iodine Nasal Spray and Gargle,All,18,99,Accepts Healthy Volunteers,40536,Prevention,Non-Randomized,Parallel Assignment,,None (Open Label),"       The COVID-19 pandemic, caused by Severe Acute Respiratory Syndrome Coronavirus - 2       (SARS-CoV-2), has been implicated in over 900,000 cases in the United States alone and has       been found to affect as many as 28% of healthcare workers (HCW) worldwide. The most current       statistics from Iceland, China, and Italy indicate that up to 50% of infected patients may be       asymptomatic or with negligible symptomatology. This, added to the national shortage of       personal protective equipment (PPE) and the need to reuse PPE, lends to the significantly       increased risk to healthcare providers.       The highest concentration of viral particles resides within the nasopharynx. The virus is       thought to spread via respiratory droplets with the potential for transmission via inhalation       of droplets, contact to the nose and mouth with infected materials, and airborne       transmission. Given that frontline workers are involved in high-risk procedures including       intubation, bronchoscopy, proning patients (which can lead to droplet production) and in some       cases are reusing PPE, finding ways to reduce viral load or viral exposure are paramount.       Povidone-iodine (PVP-I) is a broad-spectrum antiseptic with activity against bacteria, fungi,       and viruses. It has been previously used in both intranasal preparations against MRSA as well       as oral preparations in in-vitro studies of SARS-CoV, MERS-CoV, H1N1, and rotavirus with good       efficacy.       Due to the known breadth of its antiviral activity and similarities in molecular structure,       it can be extrapolated that PVP-I should have robust activity against SARS-CoV-2. Eggers et       al found that at a concentration of 1% there was a reduction of viral activity of 99.99% in       in-vitro assays. At 2 minutes, a concentration of 0.23% was enough to reduce viral loads       appreciably.       PVP-I is widely used as an antiseptic and is well-tolerated and has been shown to have little       to no effect on mucociliary clearance, olfaction, or thyroid function if iodine holidays are       taken.       In this study, front line healthcare workers will be asked to complete a pre-participation       survey and screened for COVID positivity. They will then be given premade PVP-I gargles and       nasal sprays, as well as a calendar card to mark compliance. PVP-I nasal spray and gargle       (10% diluted 1:30) will be used prior to the start of a shift, during lunch break, and at       the end of shift. First, the nasal spray will be sprayed in the nose (2 sprays each naris).       For adequate coverage, the participant should be able to taste the iodine or see it in the       back of the throat. This should be left in place for 30 seconds. Then, the participant will       gargle the solution for 30 seconds and not have anything to eat or drink by mouth for 30       minutes. Treatment will continue for 3 weeks, or until the healthcare worker presents with       COVID symptoms. Participants will then be tested for COVID positivity and asked to fill out a       second questionnaire assessing study tolerability. At completion of the study, they will be       asked to turn in their calendar card to assess how many applications they were able to       complete.       Given the high rate of asymptomatic carriers, a second arm will also be planned for patients       who have a 7+ day hospitalization or who are set to undergo a significant surgical procedure.       These patients will be offered participation in the study as well and will be given the same       questionnaire and undergo preoperative testing if they consent. For patients in the study       group, PVIP gargle and nasal sprays will be applied preoperatively or shortly after admission       and enrollment in the study for the non-operative group. The patients will then be retested       in 2 weeks or as directed by the presentation of symptoms concerning for infection with       SARS-CoV-2.     ","       Povidone-iodine (PVP-I) is a broad-spectrum antiseptic with activity against bacteria, fungi,       and viruses. It has been previously used in both intranasal preparations against Methicillin       Resistant Staphylococcus Aureus (MRSA) as well as oral preparations in in-vitro studies of       Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV), Middle Eastern Respiratory Syndrome       Coronavirus (MERS-CoV), influenza H1N1, and rotavirus with good efficacy. This study will       evaluate the efficacy of PVP-I as prophylaxis in Coronavirus Disease 2019 (COVID19)-negative       front-line health care workers and hospital patients.     ",Percent of patients that become positive for COVID-19 during the study.,Percent of patients testing positive for COVID-9.,"University of Kentucky; Lexington; Kentucky; 40536; Alexandra E Kejner, MD; alexandra.kejner@uky.edu; 859-323-6741","Alexandra E Kejner, MD; 859-323-6741; alexandra.kejner@uky.edu"
NCT04369599,2020-05-31,Not yet recruiting,N/A,Interventional,Trans Thoracic Manipulation of Ventilation/Perfusion: the V/Q Vest,Trans Thoracic Manipulation of Ventilation/Perfusion: the V/Q Vest,Acute Respiratory Distress Syndrome|COVID-19,V/Q Vest,All,18,,No,30322,Treatment,N/A,Single Group Assignment,,None (Open Label),"       In acute severe respiratory failure due to COVID-19, current recommendations by international       Critical Care Societies include placing patients who are dependent on mechanical ventilator       support for their survival, on their bellies. This acts to physically redistribute blood to       uninjured or minimally injured lung that can still participate in taking up oxygen.       Unfortunately, not all centers are equipped or trained for this maneuver which has it''s own       inherent risks. The investigators are proposing that the effects of proning can be safely       mimicked by the V/Q vest by applying pressure through a non invasive externally fitted vest.       By 4 front and rear inflatable compartments, doctors can fine tune the redirection of blood       as occurs in proning. However the vest successfully avoids the need for expensive specialized       equipment, training and facilities. In addition, preliminary assessment of the technique       using sand bags to apply pressure, the investigators found that those patients who did not       respond to this maneuver also failed to respond to more costly therapies. The vest       potentially acts as a therapy in and of itself and as an indicator of what is optimal       treatment for the COVID-19 patient while saving hospital resources and economic burden.       The study procedures will take less than 4 hours to complete for each subject enrolled.       During this time, the subject will be sedated. The ventilation perfusion vest consists of two       parts for ease of placement. The vest has multiple chambers which will be inflated to       different pressures. The vest will be inflated for 1 hour at a specific pressure and the       pressure will then be increased for another hour for the purpose of the study. This will help       to evaluate which pressure is optimal for altering lung function and oxygen levels.     ","       The objective of this research is optimizing oxygenation in patients in the setting of acute       hypoxic respiratory failure in relation to corona virus disease 2019 (COVID-19) through       non-invasive manipulation as a complementary therapy to traditional advanced mechanical       ventilator support, or as a marker of responsivity to supportive therapies. The intent is to       determine if it is possible to physically improve the ability of the lungs to take up oxygen       by applying external pressure to the chest. It is hypothesized that the use of the vest for       this patient population will alter the blood flow through the lungs and thereby improve       oxygen levels in the body. Participants will wear the ventilation/perfusion (V/Q) vest for 2       hours and study activities will last up to 4 hours.     ","Improvement in oxygenation will be assessed by a demonstrated >20% increase in arterial oxygen levels after 120 minutes of treatment with the V/Q Vest, with two different levels of pressure. Normal levels of arterial oxygen range from 75 to 100 millimeters of mercury (mm Hg). Low oxygenation levels necessitate supplemental oxygen.",Change in Arterial Oxygenation Levels,Emory University Hospital; Atlanta; Georgia; 30322,"Maxwell Weinmann, MD; (617) 543-6453; maxwell.weinmann@emory.edu"
NCT04336774,2020-05-31,Recruiting,N/A,Interventional,CAPTION AI to Minimize Risk of COVID Exposure,Use of Caption AI to Perform a Clinically Indicated Transthoracic Echocardiogram in Patients Being Evaluated for or Positive for COVID-19,COVID-19,Caption AI,All,18,,No,27710,Diagnostic,N/A,Single Group Assignment,,None (Open Label),"       To enable healthcare professionals that are not proficient in transthoracic echo (TTE) to       acquire images in patients being evaluated for or positive for COVID-19. By leveraging the       capabilities of the Caption AI which is designed to train novice users on how to acquire TTE,       this would minimize the risk of sonographers to be exposed to COVID-19. Additionally,       minimizing sonographer interaction with patients being evaluated for or positive for COVID 19       minimizes the risk of sonographers as vectors for transmission to other patients. Lastly,       since the Caption AI device will be dedicated to the COVID wards and COVID ICU and not       transported to other locations, use of the CAPTION AI device will help to limit viral       transmission via the surfaces of the ultrasound machine. These images will be assessed by       qualified medical professionals for diagnosis.     ","       Participants scheduled for for an echocardiogram (echo) and being evaluated for, or is       positive for COVID-19 will be asked if they would be willing to have their echo done using a       new software program on one of the hand-held ultrasound scanners.       The new software program guides the investigator, or any other non-sonographer, to take the       best possible pictures of the participants heart. The prior version of this software is       already being used clinically and is FDA approved. The main reason for using the updated       version is that it''s faster and better in terms of guiding the user.     ",There need to be enough images taken of sufficient quality to allow for calculation of an automated LVEF by the AI algorithm,Time to acquire images as measured by time stamps,"Duke Health; Durham; North Carolina; 27710; Kristine Arges, BSN; kristine.arges@duke.edu|Duke University Medical Center; Durham; North Carolina; 27710; Kristine Arges, BSN; kristine.arges@duke.edu; 919-668-0927","Kristine Arges, BSN; 919-668-0927; kristine.arges@duke.edu"
NCT04367831,2020-05-31,Not yet recruiting,Phase 4,Interventional,Intermediate or Prophylactic-Dose Anticoagulation for Venous or Arterial Thromboembolism in Severe COVID-19,Intermediate or Prophylactic-Dose Anticoagulation for Venous or Arterial Thromboembolism in Severe COVID-19: A Cluster Based Randomized Selection Trial (IMPROVE-COVID),Arterial Thrombosis|COVID-19|Venous Thromboses,Enoxaparin/Lovenox Intermediate Dose;Enoxaparin Prophylactic Dose;Heparin Infusion;Heparin SC,All,18,80,No,10032,Treatment,Randomized,Parallel Assignment,,Single,"       Hemostatic, biomarker, and inflammatory changes are common in severe manifestations of       coronavirus disease 2019 (COVID-19).Such factors, as well as the bedridden status and       critical illness may constitute a prothrombotic milieu, predisposing to venous and arterial       thrombosis. However, the optimal antithrombotic regimen for patients with COVID-19,       especially those with severe disease, remains uncertain and is currently an area of active       clinical interest. Prophylactic-dose anticoagulation is generally recommended for acutely ill       hospitalized patients. However, given the hemostatic abnormalities of severe COVID-19       illness, it is unknown whether more intensive anticoagulation is preferred to reduce the risk       of thrombotic events, potentially mitigating microvascular and macrovascular thrombi and even       disseminated intravascular coagulation (DIC). Further, the risks of therapeutic dose       anticoagulation must be weighed against the bleeding risks inherent to this approach. To       address this critical gap in knowledge in an area of clinical equipoise, the investigators       plan to conduct a cluster-randomized trial in patients admitted to intensive care units       (ICUs) in a large volume academic medical center to select the best anticoagulation       intervention.     ",       This study is being conducted to assess the effectiveness of intermediate versus prophylactic       doses of anticoagulation (blood thinners) in patients critically ill with COVID-19 in the       intensive care units (ICUs) throughout the hospital. Anticoagulation is part of the patient's       usual standard of care but determining the dose of anticoagulation is based on physician       preference. The investigators are conducting this study (a randomized trial with adaptive       design employing cluster randomization) with the support of all of the ICUs to collect data       in order to determine what should be the standard of care in terms of anticoagulation in       these critically ill patients. The patients care will not be altered other than the choice of       anticoagulation (both approved and used throughout the hospital as standard of care) based on       the ICU bed they are assigned. Patient data will be collected until discharge.     ,Composite of being alive and without clinically-relevant venous or arterial thrombotic events at discharge from ICU (without transfer to another ICU or palliative care unit/hospice) or at 30 days (if ICU duration lasted 30 days or longer).,Total Number of Patients with Clinically Relevant Venous or Arterial Thrombotic Events in ICU,Columbia University Medical Center; New York; New York; 10032,"Sahil Parikh, MD; 212-305-7060; sap2196@cumc.columbia.edu"
NCT04367077,2020-05-31,Recruiting,Phase 2/Phase 3,Interventional,MultiStem Administration for COVID-19 Induced ARDS (MACoVIA),A Phase 2/3 Study to Assess the Safety and Efficacy of MultiStem® Therapy in Subjects With Acute Respiratory Distress Syndrome (ARDS) Due to Coronavirus Disease (COVID-19),ARDS,MultiStem;Placebo,All,18,89,No,44106,Treatment,Randomized,Sequential Assignment,,Quadruple,,"       Multicenter investigation featuring an open-label lead-in followed by a double blinded,       randomized, placebo-controlled Phase 2/3 part to evaluate the safety and efficacy of       MultiStem therapy in subjects with moderate to severe Acute Respiratory Distress Syndrome       (ARDS) due to COVID-19.     ",,Ventilator-Free Days,Athersys Investigational Site 101; Cleveland; Ohio; 44106; Athersys Clinical Trials Group; macovia@athersys.com; 216-426-3597,Athersys Clinical Trials Group; 2164263597; macovia@athersys.com
NCT04333732,2020-05-31,Not yet recruiting,Phase 3,Interventional,CROWN CORONATION: Chloroquine RepurpOsing to healthWorkers for Novel CORONAvirus mitigaTION,"An International, Multi-site, Bayesian Platform Adaptive,Randomised, Double-blind, Placebo-controlled Trial Assessing the Effectiveness of Varied Doses of Oral Chloroquine in Preventing or Reducing the Severity of COVID-19 Disease in Healthcare Workers",COVID 19,High-dose chloroquine;Low-dose chloroquine;Mid-dose chloroquine;Placebo,All,18,,No,63110,Prevention,Randomized,Parallel Assignment,,Double,"       CROWN CORONATION is a large, Bayesian adaptive, pragmatic, participant-level randomized,       multi-center, transdisciplinary, international placebo-controlled trial. It has been designed       in accordance with CONSORT guidelines. Randomization will be stratified by age (<50 and >50)       and site. Participants will be healthcare workers at risk for contracting SARS-CoV-2.       Participants will be randomized into one of four arms:         -  Low-dose (300mg chloroquine base weekly);         -  Medium-dose (300mg chloroquine base twice weekly);         -  High-dose (150 mg chloroquine base daily);         -  Placebo.       In all treatment arms, an induction dose of 1200mg chloroquine base (or equivalent number of       placebo tablets in the placebo arm) will be taken in 4 divided daily doses (that is 300mg       chloroquine base per day for four days) before starting the low, medium, or high dose       regimen.       New dosage-based arm(s) might be added or removed. The trial will evaluate which of the       intervention arms is most effective at decreasing the incidence of severe COVID-19 disease,       without unacceptable side effects or safety events.       Participants will complete weekly (smart phone- based) data logs, and follow- up information       will be collected until 2 months after enrollment or death. In addition, where possible, we       will use telemedicine approaches to collection information on participants. We will provide       adherence support interventions that have worked and been tested for Human Immunodeficiency       Virus Pre-Exposure Prophylaxis (HIV PrEP) (e.g. two-way SMS with check in for those that       report symptoms or adverse events). On enrollment, the local trial team will create a new       electronic case record from (CRF) on the web-based study database and record basic       demographic information. Participants will be given a secure login to enable them to complete       an initial participant health questionnaire and the daily data logs.     ","       Healthcare workers are at the frontline of the fight against COVID-19, and as such they are       at high risk for infection and possibly for serious infection, linked to the extent of their       exposure. The CROWN CORONATION trial prioritizes the protection of healthcare workers as a       strategy to prevent collapse of healthcare services.     ","To determine the effectiveness (and minimum effective dose schedule) of chloroquine prophylaxis in preventing laboratory-confirmed symptomatic, laboratory test-confirmed COVID-19 (WHO COVID-19 severity scale score >1) in healthcare workers with repeated exposures to SARS-CoV-2.",Symptomatic COVID-19,"Washington University School of Medicine; Saint Louis; Missouri; 63110; Linda Yun, BS; lindayun@wustl.edu; 314-273-2240","Linda Yun, BS; 314-273-2240; lindayun@wustl.edu"
NCT04340479,2020-05-31,Not yet recruiting,,Observational [Patient Registry],The Use of Ultrasound in Establishing COVID-19 Infection as Part of a Trauma Evaluation,The Use of Ultrasound in Establishing COVID-19 Infection as Part of a Trauma Evaluation,COVID|Trauma|Ultrasound,Ultrasound lung imaging as part of FAST+ evaluation,All,,,Accepts Healthy Volunteers,80045,,,,Cohort,,"       The current coronavirus disease 2019 (COVID-19) pandemic has created a unique situation for       initial healthcare providers who strive to provide optimal medical care while minimizing       personal exposure in acute scenarios. Although the morbidity and mortality for this disease       is low for young healthy individuals, it presents a potentially serious threat to older       healthcare providers or those providers with chronic medical conditions. Once a patient       arrives emergently to the emergency department (ED) setting, ED providers must act promptly       to evaluate these individuals for COVID-19 infection risk factors such as exposure, symptoms,       and chronic medical conditions. However, some medical and surgical patients presenting       emergently for evaluation are unable to provide a reliable medical history due to age, drugs,       the absence of a next of kin, or altered mental status. Acutely traumatized patients often       undergo computed tomography of the chest during their comprehensive evaluation. Adding a       rapid bedside ultrasound of the chest as a research procedure could allow validation of       ultrasound to help stratify medical and surgical patients into high and low risk of COVID-19       categories, with no radiation exposure, and far faster than current COVID-19 diagnostic PCR       testing.       Aims: In this project, we will collect data that will inform a novel strategy to mitigate       risk to providers by providing early, objective, and rapidly collected end organ data which       will permit the stratification of pediatric trauma patients into low or high risk COVID-19       categories. We will collect and evaluate lung ultrasound (US) findings in an expanded Focused       Assessment with Sonography in Trauma (FAST) evaluation of the chest of pediatric trauma       patients. The term FAST+ is used to denote the use of FAST expanded to image the select       lung fields in traumatized patients. We hypothesize that FAST+ will result in identification       of pulmonary findings indicative of COVID-19 infections and will significantly correlate with       the gold standard derived from computed tomography (CT) performed in parallel in these       traumatically injured patients.     ","       The current COVID-19 pandemic is providing healthcare organizations with considerable       challenges and opportunities for rapid cycle improvement efforts, in diagnostic and patient       management arenas. Healthcare providers are tasked with limiting the use of personal       protective equipment while minimizing unnecessary exposures to the virus. Results from       real-time PCR tests to detect active COVID-19 infections may not be available in a timely       fashion during emergent trauma assessments. Since the start of the COVID-19 pandemic, a       rapidly expanding body of literature has identified a pattern of imaged lung abnormalities       with CT and ultrasound (US) characteristic of an active viral infection. US evaluation       provides a reliable, portable, and reproducible way of evaluating acute patients in a real       time setting. During initial trauma evaluations, patients may also receive adjunct imaging       modalities like the Focused Assessment with Sonography in Trauma (FAST) exam designed to       discover life threatening findings that may require urgent interventions. We therefore       propose a study expanding on the current FAST adjunct evaluation in the trauma bay that may       include lung parenchyma imaging at the initial assessment to help stratify patients into low       or high-risk groups for active COVID-19 infections. We believe the use of point of care US in       the initial assessment of the trauma patient may help identify potentially infected       individuals and aid ED providers to best directing subsequent laboratory and imaging       evaluations for these patients, while further directing the necessary protective measures for       additional team members involved in the care of the injured patient.     ",Will correlate FAST+ pulmonary findings and published CT findings noted in active COVID infection to determine if FAST+ is a suitable diagnostic tool in detecting active COVID infection. Plan to use FAST+ imaging findings to stratify patients into low or high-risk COVID-19 infection groups.,Correlation of FAST+ pulmonary findings with active COVID infection,"Children''s Hospital Colorado; Aurora; Colorado; 80045; Jose L Diaz-Miron, MD; jose.diaz-miron@childrenscolorado.org; 720-777-6571","Jose L Diaz-Miron, MD; 720-777-6571; jose.diaz-miron@childrenscolorado.org"
