nct_id,start_date,phase,study_type,brief_title,gender,minimum_age,healthy_volunteers,primary_purpose,allocation,masking,int_and_obs_model
NCT04334382,2020_14,Phase 3,Interventional,Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19,All,45.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04283461,2020_12,Phase 1,Interventional,Safety and Immunogenicity Study of 2019-nCoV Vaccine (mRNA-1273) for Prophylaxis of SARS-CoV-2 Infection (COVID-19),All,18.0,Accepts Healthy Volunteers,Prevention,Non-Randomized,None (Open Label),Sequential Assignment
NCT04372368,,,Expanded Access,Convalescent Plasma for the Treatment of Patients With COVID-19,All,18.0,,,,,
NCT04380948,2020_31,Phase 1,Interventional,"A Pilot Study Evaluating the Effect of NT-I7, a Long Acting Interleukin-7, to Enhance Immune Clearance of SARS-CoV-2",All,18.0,No,Treatment,Randomized,Triple,Parallel Assignment
NCT04323761,,,Expanded Access,Expanded Access Treatment Protocol: Remdesivir (RDV; GS-5734) for the Treatment of SARS-CoV2 (CoV) Infection (COVID-19),All,12.0,,,,,
NCT04358211,,,Expanded Access,Expanded Access to Convalescent Plasma to Treat and Prevent Pulmonary Complications Associated With COVID-19,All,18.0,,,,,
NCT04374370,,,Expanded Access,SARSCoV2 (COVID-19) Convalescent Plasma (CP) Expanded Access Protocol (EAP),All,6.0,,,,,
NCT04338360,,,Expanded Access,Expanded Access to Convalescent Plasma for the Treatment of Patients With COVID-19,All,18.0,,,,,
NCT04338347,,,Expanded Access,CAP-1002 in Severe COVID-19 Disease,All,18.0,,,,,
NCT04360551,2020_27,Phase 2,Interventional,Pilot Clinical Trial of the Safety and Efficacy of Telmisartan for the Mitigation of Pulmonary and Cardiac Complications in COVID-19 Patients,All,18.0,No,Treatment,Randomized,Triple,Parallel Assignment
NCT04320511,2020_27,,Observational,Beaumont Quantitative Lung Function Imaging to Characterize Patients With SARS-COV 2,All,18.0,No,,,,Cohort
NCT04354714,2020_27,Phase 2,Interventional,Ruxolitinib to Combat COVID-19,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04344184,2020_27,Phase 2,Interventional,Early Infusion of Vitamin C for Treatment of Novel COVID-19 Acute Lung Injury (EVICT-CORONA-ALI),All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04374279,2020_27,Phase 2,Interventional,Trial to Promote Recovery From COVID-19 With Ivermectin or Endocrine Therapy,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04340232,2020_27,Phase 2/Phase 3,Interventional,Safety and Efficacy of Baricitinib for COVID-19,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04378803,2020_25,,Interventional,Mindfulness Training for Seniors,All,65.0,Accepts Healthy Volunteers,Supportive Care,Randomized,None (Open Label),Crossover Assignment
NCT04376710,2020_23,,Observational,Surgical Telemedicine in the COVID-19 Pandemic Era,All,0.0,Accepts Healthy Volunteers,,,,Other
NCT04371640,2020_22,Phase 1,Interventional,Sirolimus in COVID-19 Phase 1,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04353206,2020_22,Early Phase 1,Interventional,Convalescent Plasma in ICU Patients With COVID-19-induced Respiratory Failure,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04377100,2020_20,,Interventional,Impact on Anxiety and Motivation of COVID-19 and Predictors of Individual Responses,All,18.0,No,Basic Science,,None (Open Label),Single Group Assignment
NCT04345601,2020_22,Early Phase 1,Interventional,Mesenchymal Stromal Cells for the Treatment of SARS-CoV-2 Induced Acute Respiratory Failure (COVID-19 Disease),All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04344587,2020_22,,Interventional,COVID-19 smArtphone-based Trial of Non-ICU Admission Prone Positioning,All,18.0,No,Supportive Care,Randomized,None (Open Label),Parallel Assignment
NCT04364802,2020_22,Phase 2,Interventional,COVID-19: Povidone-Iodine Intranasal Prophylaxis in Front-line Healthcare Personnel and Inpatients,All,18.0,Accepts Healthy Volunteers,Prevention,Non-Randomized,None (Open Label),Parallel Assignment
NCT04369599,2020_22,,Interventional,Trans Thoracic Manipulation of Ventilation/Perfusion: the V/Q Vest,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04336774,2020_22,,Interventional,CAPTION AI to Minimize Risk of COVID Exposure,All,18.0,No,Diagnostic,,None (Open Label),Single Group Assignment
NCT04367831,2020_22,Phase 4,Interventional,Intermediate or Prophylactic-Dose Anticoagulation for Venous or Arterial Thromboembolism in Severe COVID-19,All,18.0,No,Treatment,Randomized,Single,Parallel Assignment
NCT04367077,2020_22,Phase 2/Phase 3,Interventional,MultiStem Administration for COVID-19 Induced ARDS (MACoVIA),All,18.0,No,Treatment,Randomized,Quadruple,Sequential Assignment
NCT04333732,2020_22,Phase 3,Interventional,CROWN CORONATION: Chloroquine RepurpOsing to healthWorkers for Novel CORONAvirus mitigaTION,All,18.0,No,Prevention,Randomized,Double,Parallel Assignment
NCT04340479,2020_22,,Observational [Patient Registry],The Use of Ultrasound in Establishing COVID-19 Infection as Part of a Trauma Evaluation,All,,Accepts Healthy Volunteers,,,,Cohort
NCT04365257,2020_22,Phase 2,Interventional,Prazosin to Prevent COVID-19 (PREVENT-COVID Trial),All,45.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04347954,2020_22,Phase 1/Phase 2,Interventional,PVP-I Nasal Sprays and SARS-CoV-2 Nasopharyngeal Titers (for COVID-19),All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04312997,2020_22,Phase 2,Interventional,The Use of PUL-042 Inhalation Solution to Reduce the Severity of COVID-19 in Adults Positive for SARS-CoV-2 Infection,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04313023,2020_22,Phase 2,Interventional,The Use PUL-042 to Reduce the Infection Rate and Progression to COVID-19 in Adults Exposed to SARS-CoV-2,All,18.0,No,Prevention,Randomized,Quadruple,Parallel Assignment
NCT04381052,2020_22,Phase 2,Interventional,Study for the Use of the IL-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04355767,2020_22,Phase 2,Interventional,Convalescent Plasma vs. Placebo in Emergency Room Patients With COVID-19,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04349631,2020_19,Phase 2,Interventional,A Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Autologous Mesenchymal Stem Cell Therapy (HB-adMSCs) to Provide Protection Against COVID-19,All,,Accepts Healthy Volunteers,Prevention,,None (Open Label),Single Group Assignment
NCT04347538,2020_22,,Interventional,Impact of Nasal Saline Irrigations on Viral Load in Patients With COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04376593,2020_22,Early Phase 1,Interventional,PET/CT Imaging in COVID-19 Patients,All,18.0,No,Diagnostic,,None (Open Label),Single Group Assignment
NCT04363866,2020_22,Phase 4,Interventional,A Pilot Study to Assess Hydroxychloroquine in Patients With SARS-CoV-2 (COVID-19),All,18.0,No,Treatment,Randomized,Single,Parallel Assignment
NCT04361552,2020_22,Phase 3,Interventional,Tocilizumab for the Treatment of Cytokine Release Syndrome in Patients With COVID-19 (SARS-CoV-2 Infection),All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04379518,2020_22,Phase 1/Phase 2,Interventional,Rintatolimod and IFN Alpha-2b for the Treatment of Mild or Moderate COVID-19 Infection in Cancer Patients,All,18.0,No,Supportive Care,,None (Open Label),Single Group Assignment
NCT04332107,2020_21,Phase 3,Interventional,Azithromycin for COVID-19 Treatment in Outpatients Nationwide,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04343976,2020_20,Phase 2,Interventional,Pegylated Interferon Lambda Treatment for COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04362189,2020_20,Phase 2,Interventional,Efficacy and Safety Study of Allogeneic HB-adMSCs for the Treatment of COVID-19,All,,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04354155,2020_20,Phase 2,Interventional,COVID-19 Anticoagulation in Children - Thromboprophlaxis (COVAC-TP) Trial,All,,No,Prevention,,None (Open Label),Single Group Assignment
NCT04344977,2020_20,,Observational,Collection of Anti-SARS-CoV-2 Immune Plasma,All,18.0,Accepts Healthy Volunteers,,,,Case-Only
NCT04339790,2020_20,,Observational,Mental Health Impact of COVID-19 Pandemic on NIMH Research Participants and Volunteers,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04371432,2020_20,,Observational,Genetics of COVID-19 Susceptibility and Manifestations,All,3.0,No,,,,Case-Control
NCT04334954,2020_20,,Observational,SARS-COV2 Pandemic Serosurvey and Blood Sampling,All,18.0,Accepts Healthy Volunteers,,,,Case-Only
NCT04380688,2020_20,Phase 2,Interventional,Acalabrutinib Study With Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized With COVID-19.,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04377620,2020_19,Phase 3,Interventional,Assessment of Efficacy and Safety of Ruxolitinib in Participants With COVID-19-Associated ARDS Who Require Mechanical Ventilation (RUXCOVID-DEVENT),All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04379492,2020_19,Phase 2,Interventional,A Study of Hydroxycholoroquine Compared to Placebo as Treatment for People With COVID-19,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04368234,2020_19,,Observational [Patient Registry],Duke COVID-19 Shared Data and Specimen Repository,All,,No,,,,Cohort
NCT04374565,2020_19,Phase 2,Interventional,Convalescent Plasma for Treatment of COVID-19 Patients With Pneumonia,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04374552,2020_19,Phase 2,Interventional,Asymptomatic COVID-19 Trial,All,20.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04379284,2020_19,,Observational,Risks of COVID19 in the Pregnant Population,Female,18.0,No,,,,Case-Only
NCT04334460,2020_19,Phase 2,Interventional,Safety and Antiviral Activity of BLD-2660 in COVID-19 Hospitalized Subjects,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04363346,2020_19,Phase 1,Interventional,Study of FT516 for the Treatment of COVID-19 in Hospitalized Patients With Hypoxia,All,18.0,No,Treatment,Non-Randomized,None (Open Label),Sequential Assignment
NCT04378777,2020_18,,Observational,Immunophenotyping Assessment in a COVID-19 Cohort (IMPACC),All,18.0,No,,,,Cohort
NCT04377659,2020_18,Phase 2,Interventional,Tocilizumab for Prevention of Respiratory Failure in Patients With Severe COVID-19 Infection,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04377412,2020_18,,Observational,Risk Factors for Anxiety and Depression Among Pregnant Women During the COVID-19 Pandemic,Female,18.0,Accepts Healthy Volunteers,,,,Ecologic or Community
NCT04375761,2020_18,,Observational,COVID-19: Human Epidemiology and Response to SARS-CoV-2,All,,Accepts Healthy Volunteers,,,,Family-Based
NCT04374786,2020_18,,Interventional,Effects of Mobile App in House Staff Health and Well-being During COVID-19 Pandemic,All,18.0,Accepts Healthy Volunteers,Supportive Care,,None (Open Label),Single Group Assignment
NCT04374461,2020_18,Phase 2,Interventional,A Study of N-acetylcysteine in Patients With COVID-19 Infection,All,18.0,No,Treatment,Non-Randomized,None (Open Label),Parallel Assignment
NCT04374019,2020_18,Phase 2,Interventional,Novel Agents for Treatment of High-risk COVID-19 Positive Patients,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04372628,2020_18,Phase 2,Interventional,Trial of Early Therapies During Non-hospitalized Outpatient Window for COVID-19,All,18.0,No,Treatment,Randomized,Triple,Sequential Assignment
NCT04338074,2020_16,Phase 2,Interventional,TXA and Corona Virus 2019 (COVID19) in Outpatients,All,19.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04366986,2020_18,,Observational [Patient Registry],International Registry of Coronavirus (COVID-19) Exposure in Pregnancy,Female,18.0,No,,,,Cohort
NCT04355143,2020_18,Phase 2,Interventional,Colchicine to Reduce Myocardial Injury in COVID-19 (COLHEART-19),All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04350450,2020_18,Phase 2,Interventional,Hydroxychloroquine Treatment of Healthcare Workers With COVID19 Illness at Montefiore,All,18.0,No,Treatment,Non-Randomized,None (Open Label),Parallel Assignment
NCT04350476,2020_18,,Interventional,COVID-19 Remote Monitoring,All,18.0,No,Screening,,None (Open Label),Single Group Assignment
NCT04343183,2020_18,,Interventional,Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection,All,18.0,No,Treatment,Randomized,Single,Parallel Assignment
NCT04311697,2020_18,Phase 2,Interventional,Intravenous Aviptadil for COVID-19 Associated Acute Respiratory Distress,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04351620,2020_18,Phase 1,Interventional,High-dose Hydroxychloroquine for the Treatment of Ambulatory Patients With Mild COVID-19,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04341935,2020_18,Phase 4,Interventional,Effects of DPP4 Inhibition on COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04361123,2020_18,,Observational,Atrium COVID-19 Syndromic and Serologic Surveillance,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04344600,2020_18,Phase 2,Interventional,Peginterferon Lambda-1a for the Prevention and Treatment of SARS-CoV-2 Infection,All,18.0,No,Prevention,Randomized,Single,Parallel Assignment
NCT04362813,2020_18,Phase 3,Interventional,Study of Efficacy and Safety of Canakinumab Treatment for CRS in Participants With COVID-19-induced Pneumonia,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04371393,2020_18,Phase 3,Interventional,MSCs in COVID-19 ARDS,All,18.0,No,Treatment,Randomized,Triple,Parallel Assignment
NCT04361214,2020_18,Phase 1,Interventional,Leflunomide in Mild COVID-19 Patients,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04363203,2020_18,Phase 3,Interventional,VA Remote and Equitable Access to COVID-19 Healthcare Delivery (VA-REACH TRIAL),All,18.0,No,Treatment,Randomized,Quadruple,Single Group Assignment
NCT04349371,2020_18,Phase 2,Interventional,Saved From COVID-19,All,18.0,No,Prevention,Randomized,Quadruple,Parallel Assignment
NCT04355897,2020_18,Early Phase 1,Interventional,CoVID-19 Plasma in Treatment of COVID-19 Patients,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04346628,2020_18,Phase 2,Interventional,Oral Favipiravir Compared to Standard Supportive Care in Subjects With Mild COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04351152,2020_18,Phase 3,Interventional,Phase 3 Study to Evaluate Efficacy and Safety of Lenzilumab in Hospitalized Patients With COVID-19 Pneumonia,All,18.0,No,Prevention,Randomized,Double,Parallel Assignment
NCT04351243,2020_18,Phase 2,Interventional,A Study to Assess the Efficacy and Safety of of Gimsilumab in Subjects With Lung Injury or Acute Respiratory Distress Syndrome Secondary to COVID-19.,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04335084,2020_18,Phase 2,Interventional,"A Study of Hydroxychloroquine, Vitamin C, Vitamin D, and Zinc for the Prevention of COVID-19 Infection",All,18.0,Accepts Healthy Volunteers,Prevention,,None (Open Label),Single Group Assignment
NCT04370938,2020_18,,Interventional,Provider Burnout During COVID-19,All,18.0,Accepts Healthy Volunteers,Other,Randomized,Single,Parallel Assignment
NCT04368728,2020_18,Phase 1/Phase 2,Interventional,"Study to Describe the Safety, Tolerability, Immunogenicity, and Potential Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",All,18.0,Accepts Healthy Volunteers,Prevention,Randomized,Triple,Parallel Assignment
NCT04379089,2020_18,,Observational,Neurologic Manifestations of COVID 19 in Children,All,,No,,,,Cohort
NCT04365985,2020_18,Phase 2,Interventional,Study of Immunomodulation Using Naltrexone and Ketamine for COVID-19,All,18.0,No,Treatment,Randomized,Triple,Factorial Assignment
NCT04370782,2020_18,Phase 4,Interventional,Hydroxychloroquine and Zinc With Either Azithromycin or Doxycycline for Treatment of COVID-19 in Outpatient Setting,All,30.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04367740,2020_18,,Observational,"ScreenNC, a Study to Determine the Number of Asymptomatic Individuals Who Have Antibodies to the Virus That Causes COVID-19",All,18.0,,,,,Case-Only
NCT04365127,2020_18,Phase 1,Interventional,Progesterone for the Treatment of COVID-19 in Hospitalized Men,Male,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04358003,2020_18,,Interventional,Plasma Adsorption in Patients With Confirmed COVID-19,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04356937,2020_18,Phase 3,Interventional,Efficacy of Tocilizumab on Patients With COVID-19,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04360954,2020_18,,Observational,Evaluation of Antibody Tests for COVID-19,All,18.0,,,,,Case-Only
NCT04371315,2020_18,,Observational,"Risk Factors, Clinical Characteristics and Outcomes of Acute Infection With Coronavirus 2019 (COVID-19) In Children",All,,No,,,,Other
NCT04359797,2020_18,,Interventional,COVID-19 Patient Positioning Pragmatic Trial,All,18.0,No,Supportive Care,Randomized,Single,Parallel Assignment
NCT04370821,2020_18,,Observational [Patient Registry],"COVID-19 CHAMPS Study of Healthcare, First Responder and Service Workers",All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04363450,2020_18,Phase 3,Interventional,Hydroxychloroquine as Prophylaxis for COVID-19 in Healthcare Workers (HCQPreP),All,18.0,Accepts Healthy Volunteers,Prevention,Randomized,Quadruple,Parallel Assignment
NCT04362865,2020_18,,Observational,Investigation of the B- and T-cell Repertoire and Immune Response in Patients With Acute and Resolved COVID-19 Infection,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04363437,2020_17,Phase 2,Interventional,COlchicine in Moderate-severe Hospitalized Patients Before ARDS to Treat COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04346615,2020_17,Phase 2/Phase 3,Interventional,Safety and Efficacy Trial of Vazegepant Intranasal for Hospitalized Patients With COVID-19 Requiring Supplemental Oxygen,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04355728,2020_17,Phase 1/Phase 2,Interventional,Use of UC-MSCs for COVID-19 Patients,All,18.0,No,Treatment,Randomized,Single,Parallel Assignment
NCT04352946,2020_17,Phase 3,Interventional,HEalth Care Worker pROphylaxis Against COVID-19: The HERO Trial,All,18.0,Accepts Healthy Volunteers,Prevention,Randomized,Quadruple,Parallel Assignment
NCT04368260,2020_17,,Interventional,Clinical Validation of New Injection Molded Flocked Nasopharyngeal Swabs in Response to the COVID-19 Pandemic,All,,Accepts Healthy Volunteers,Other,Non-Randomized,None (Open Label),Parallel Assignment
NCT04380961,2020_17,Phase 2,Interventional,A Study to Evaluate the Efficacy and Safety of Sirukumab in Confirmed Severe or Critical Confirmed Coronavirus Disease (COVID)-19,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04360850,2020_17,,Observational,Use of Telehealth Technology by Mental Health Care Professionals in Times of COVID-19 Pandemic,All,18.0,Accepts Healthy Volunteers,,,,Ecologic or Community
NCT04331899,2020_17,Phase 2,Interventional,Single-Blind Study of a Single Dose of Peginterferon Lambda-1a Compared With Placebo in Outpatients With Mild COVID-19,All,18.0,No,Treatment,Randomized,Single,Parallel Assignment
NCT04373044,2020_17,Phase 2,Interventional,Antiviral Therapy and Baricitinib for the Treatment of Patients With Moderate or Severe COVID-19,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04341675,2020_17,Phase 2,Interventional,Sirolimus Treatment in Hospitalized Patients With COVID-19 Pneumonia,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04365153,2020_17,Phase 2,Interventional,Canakinumab to Reduce Deterioration of Cardiac and Respiratory Function Due to COVID-19,All,18.0,No,Treatment,Randomized,Quadruple,Factorial Assignment
NCT04362176,2020_17,Phase 3,Interventional,Passive Immunity Trial of Nashville II for COVID-19,All,18.0,No,Treatment,Randomized,Triple,Parallel Assignment
NCT04362995,2020_17,,Observational,St. Jude Tracking of Viral and Host Factors Associated With COVID-19,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04379544,2020_17,,Observational [Patient Registry],Prognostic Value of Point of Care Cardiac and Lung Ultrasound in COVID-19,All,18.0,No,,,,Cohort
NCT04366791,2020_17,Phase 1/Phase 2,Interventional,Radiation Eliminates Storming Cytokines and Unchecked Edema as a 1-Day Treatment for COVID-19,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04348435,2020_17,Phase 2,Interventional,"A Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Allogeneic Mesenchymal Stem Cell Therapy (HB-adMSCs) to Provide Protection Against COVID-19",All,,Accepts Healthy Volunteers,Prevention,Randomized,Quadruple,Parallel Assignment
NCT04360278,2020_17,,Observational,Plasma Collection From Convalescent and/or Immunized Donors for the Treatment of COVID-19,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04369989,2020_16,,Observational,Observational Study of COVID-19 Treatment Efficacy,All,18.0,No,,,,Cohort
NCT04359810,2020_17,Phase 2,Interventional,Plasma Therapy of COVID-19 in Critically Ill Patients,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04348370,2020_17,Phase 4,Interventional,BCG Vaccine for Health Care Workers as Defense Against COVID 19,All,18.0,Accepts Healthy Volunteers,Prevention,Randomized,Double,Parallel Assignment
NCT04342897,2020_17,Phase 2,Interventional,A Study of LY3127804 in Participants With COVID-19,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04339426,2020_17,Phase 2,Interventional,Atovaquone and Azithromycin Combination for Confirmed COVID-19 Infection,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04359329,2020_17,Phase 2,Interventional,Estrogen Patch for COVID-19 Symptoms,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04363268,2020_17,,Observational,ACCESS A Master Digital Surveillance Protocol for COVID-19,All,18.0,,,,,Cohort
NCT04350073,2020_17,,Interventional,Longitudinal Energy Expenditure and Metabolic Effects in Patients With COVID-19 (LEEP-COVID),All,18.0,No,Diagnostic,Non-Randomized,None (Open Label),Parallel Assignment
NCT04349098,2020_16,Phase 2,Interventional,Evaluation of Activity and Safety of Oral Selinexor in Participants With Severe COVID-19 Infection,All,18.0,No,Treatment,Randomized,Single,Parallel Assignment
NCT04358549,2020_16,Phase 2,Interventional,Study of the Use of Favipiravir in Hospitalized Subjects With COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04364737,2020_16,Phase 2,Interventional,Convalescent Plasma to Limit COVID-19 Complications in Hospitalized Patients,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04335552,2020_16,Phase 2,Interventional,"Pragmatic Factorial Trial of Hydroxychloroquine, Azithromycin, or Both for Treatment of Severe SARS-CoV-2 Infection",All,12.0,No,Treatment,Randomized,None (Open Label),Factorial Assignment
NCT04353271,2020_16,Phase 2/Phase 3,Interventional,Trial of Hydroxychloroquine In Covid-19 Kinetics,All,19.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04357041,2020_16,,Observational,"COVID-19 Survey Study on Dietary Intake, Physical Activity and Overall Well-being",All,18.0,Accepts Healthy Volunteers,,,,Case-Only
NCT04359277,2020_16,Phase 3,Interventional,A Randomized Trial of Anticoagulation Strategies in COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04348864,2020_16,,Interventional,COVID-19 Antibody Self-testing Using Virtual Point-of-care,All,18.0,Accepts Healthy Volunteers,Diagnostic,Non-Randomized,None (Open Label),Parallel Assignment
NCT04348240,2020_16,,Observational,Transmissibility and Viral Load of SARS-CoV-2 in Oral Secretions,All,18.0,No,,,,Cohort
NCT04347226,2020_16,Phase 2,Interventional,Anti-Interleukin-8 (Anti-IL-8) for Patients With COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04376034,2020_16,Phase 3,Interventional,Convalescent Plasma Collection and Treatment in Pediatrics and Adults,All,0.0,No,Treatment,Non-Randomized,None (Open Label),Sequential Assignment
NCT04351880,2020_16,,Interventional,Meals MATTER: A Trial of Medically Tailored Meals 2 Weeks vs. 4 Weeks Post Hospital Discharge,All,18.0,No,Other,Randomized,Single,Parallel Assignment
NCT04344457,2020_16,Phase 1/Phase 2,Interventional,"Evaluate the Efficacy and Safety of Oral Hydroxychloroquine, Indomethacin and Zithromax in Subjects With Mild Symptoms of COVID-19",All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04354428,2020_16,Phase 2/Phase 3,Interventional,Treatment for COVID-19 in High-Risk Adult Outpatients,All,18.0,Accepts Healthy Volunteers,Treatment,Randomized,Double,Parallel Assignment
